Tempo de processamento (perf_counter): 571.0311 segundos

         314800316 function calls (7734744 primitive calls) in 571.033 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
157286400/1832740   45.973    0.000 1140.953    0.001 python_pararell_multithreading.py:25(mandelbrot_pixel)
157286400/5674553  524.656    0.000  833.890    0.000 python_pararell_multithreading.py:7(check_mandelbrot)
      4/1    0.000    0.000  571.033  571.033 {built-in method builtins.exec}
        1    0.000    0.000  571.033  571.033 python_pararell_multithreading.py:1(<module>)
        1    0.022    0.022  571.031  571.031 python_pararell_multithreading.py:124(main)
        1    0.147    0.147  571.009  571.009 python_pararell_multithreading.py:90(generate_image_parallel)
        4    0.000    0.000  570.744  142.686 threading.py:1097(join)
        4    0.000    0.000  570.744  142.686 {method 'join' of '_thread._ThreadHandle' objects}
      4/1    0.005    0.001  570.743  570.743 threading.py:1030(_bootstrap)
      4/1    0.003    0.001  570.743  570.743 threading.py:1065(_bootstrap_inner)
      4/1    0.006    0.002  570.743  570.743 {method 'run' of '_contextvars.Context' objects}
      4/1    0.000    0.000  570.743  570.743 threading.py:1013(run)
      4/1    0.009    0.002  570.743  570.743 python_pararell_multithreading.py:63(worker_mandelbrot_line)
10244/10237    0.028    0.000    0.147    0.000 queue.py:177(get)
        2    0.102    0.051    0.102    0.051 {method 'write' of '_io.BufferedWriter' objects}
20497/20495    0.010    0.000    0.055    0.000 threading.py:316(__exit__)
    20493    0.009    0.000    0.031    0.000 threading.py:408(notify)
        4    0.001    0.000    0.031    0.008 threading.py:975(start)
    20497    0.006    0.000    0.022    0.000 threading.py:328(_is_owned)
        4    0.005    0.001    0.021    0.005 threading.py:651(wait)
    10244    0.006    0.000    0.016    0.000 queue.py:137(put)
20497/20494    0.007    0.000    0.014    0.000 threading.py:313(__enter__)
20497/20495    0.009    0.000    0.007    0.000 {method '__enter__' of '_thread.lock' objects}
    10244    0.003    0.000    0.007    0.000 queue.py:266(_qsize)
20509/20498    0.006    0.000    0.006    0.000 {method 'acquire' of '_thread.lock' objects}
    10244    0.003    0.000    0.005    0.000 queue.py:274(_get)
        4    0.001    0.000    0.005    0.001 threading.py:337(wait)
    10281    0.003    0.000    0.003    0.000 {built-in method builtins.len}
    20497    0.003    0.000    0.003    0.000 {method '__exit__' of '_thread.lock' objects}
