% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 67.02    0.019120         546        35         5 openat
 25.81    0.007364           1      5129           write
  3.62    0.001033          33        31           close
  1.09    0.000311         311         1           execve
  0.75    0.000214           7        30           mmap
  0.57    0.000163          10        15           brk
  0.24    0.000069           1        38           read
  0.15    0.000043           0        82        22 newfstatat
  0.14    0.000040           6         6           mprotect
  0.11    0.000031           0        36           fstat
  0.08    0.000023           0        26         3 lseek
  0.08    0.000023           5         4           munmap
  0.07    0.000019           1        16           getdents64
  0.04    0.000010          10         1           open
  0.03    0.000009           3         3           getrandom
  0.02    0.000006           1         4           rt_sigprocmask
  0.02    0.000006           3         2           pread64
  0.02    0.000006           1         5         4 readlink
  0.02    0.000006           3         2           prlimit64
  0.02    0.000005           1         3           getcwd
  0.01    0.000004           4         1         1 access
  0.01    0.000004           4         1           gettid
  0.01    0.000004           4         1           sched_getaffinity
  0.01    0.000003           3         1           arch_prctl
  0.01    0.000003           3         1           futex
  0.01    0.000003           3         1           set_tid_address
  0.01    0.000003           3         1           rseq
  0.01    0.000002           2         1           set_robust_list
  0.00    0.000001           0        66           rt_sigaction
  0.00    0.000001           0         4           fcntl
  0.00    0.000000           0         8         1 ioctl
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           geteuid
  0.00    0.000000           0         1           getegid
------ ----------- ----------- --------- --------- ------------------
100.00    0.028529           5      5559        36 total
