Tempo de processamento (perf_counter): 1.8002 segundos

         50234 function calls (49020 primitive calls) in 1.815 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     46/1    0.000    0.000    1.794    1.794 {built-in method builtins.exec}
      2/1    0.000    0.000    1.794    1.794 python_pararell_multiprocessing.py:1(<module>)
      2/1    0.001    0.000    1.794    1.794 python_pararell_multiprocessing.py:129(main)
      2/1    0.001    0.000    1.792    1.792 python_pararell_multiprocessing.py:93(generate_image_parallel)
        4    0.000    0.000    1.791    0.448 process.py:149(join)
        4    0.000    0.000    1.791    0.448 popen_fork.py:37(wait)
       10    0.000    0.000    1.781    0.178 popen_fork.py:25(poll)
       10    1.781    0.178    1.781    0.178 {built-in method posix.waitpid}
     71/5    0.000    0.000    0.020    0.004 <frozen importlib._bootstrap>:1360(_find_and_load)
     71/5    0.000    0.000    0.020    0.004 <frozen importlib._bootstrap>:1308(_find_and_load_unlocked)
     69/5    0.000    0.000    0.019    0.004 <frozen importlib._bootstrap>:914(_load_unlocked)
     44/5    0.000    0.000    0.019    0.004 <frozen importlib._bootstrap_external>:753(exec_module)
   168/10    0.000    0.000    0.019    0.002 <frozen importlib._bootstrap>:483(_call_with_frames_removed)
    29/10    0.000    0.000    0.015    0.001 <frozen importlib._bootstrap>:1409(_handle_fromlist)
     19/3    0.000    0.000    0.015    0.005 {built-in method builtins.__import__}
        5    0.000    0.000    0.009    0.002 __init__.py:1(<module>)
        1    0.000    0.000    0.008    0.008 shared_memory.py:1(<module>)
        4    0.000    0.000    0.007    0.002 process.py:110(start)
        4    0.001    0.000    0.007    0.002 context.py:228(_Popen)
        1    0.000    0.000    0.006    0.006 context.py:100(Queue)
        1    0.000    0.000    0.005    0.005 context.py:1(<module>)
        1    0.000    0.000    0.005    0.005 queues.py:1(<module>)
        1    0.000    0.000    0.005    0.005 resource_tracker.py:1(<module>)
       44    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:826(get_code)
        1    0.000    0.000    0.004    0.004 connection.py:1(<module>)
        1    0.000    0.000    0.004    0.004 tempfile.py:1(<module>)
        1    0.000    0.000    0.003    0.003 reduction.py:1(<module>)
       71    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:1243(_find_spec)
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
       44    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:509(_compile_bytecode)
       44    0.003    0.000    0.003    0.000 {built-in method marshal.loads}
      604    0.001    0.000    0.003    0.000 reduction.py:48(dumps)
        1    0.000    0.000    0.003    0.003 secrets.py:1(<module>)
      604    0.001    0.000    0.003    0.000 connection.py:189(send_bytes)
       55    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1284(find_spec)
       55    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1255(_get_spec)
      138    0.001    0.000    0.002    0.000 {built-in method builtins.__build_class__}
        4    0.000    0.000    0.002    0.001 context.py:284(_Popen)
        4    0.000    0.000    0.002    0.001 popen_fork.py:16(__init__)
        7    0.000    0.000    0.002    0.000 enum.py:880(_convert_)
      144    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1357(find_spec)
        4    0.000    0.000    0.002    0.001 popen_fork.py:66(_launch)
        1    0.000    0.000    0.002    0.002 spawn.py:1(<module>)
        1    0.000    0.000    0.002    0.002 socket.py:1(<module>)
       69    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:809(module_from_spec)
      604    0.000    0.000    0.002    0.000 connection.py:424(_send_bytes)
        1    0.000    0.000    0.002    0.002 util.py:1(<module>)
        4    0.002    0.000    0.002    0.000 {built-in method posix.fork}
        1    0.000    0.000    0.002    0.002 hmac.py:1(<module>)
      604    0.001    0.000    0.001    0.000 reduction.py:38(__init__)
        1    0.000    0.000    0.001    0.001 subprocess.py:1(<module>)
  605/604    0.000    0.000    0.001    0.000 queues.py:84(put)
      604    0.000    0.000    0.001    0.000 connection.py:398(_send)
        8    0.000    0.000    0.001    0.000 __init__.py:287(compile)
        8    0.000    0.000    0.001    0.000 __init__.py:330(_compile)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1051(create_module)
        7    0.000    0.000    0.001    0.000 enum.py:1740(convert_class)
        9    0.001    0.000    0.001    0.000 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
        8    0.000    0.000    0.001    0.000 _compiler.py:757(compile)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1059(exec_module)
        9    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
       71    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:419(__enter__)
        1    0.000    0.000    0.001    0.001 process.py:1(<module>)
       44    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:947(get_data)
      606    0.001    0.000    0.001    0.000 {built-in method posix.write}
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
      868    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
       90    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:304(acquire)
