Tempo de processamento (perf_counter): 7.6420 segundos

         976904 function calls (70052 primitive calls) in 7.644 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
480000/35798    7.472    0.000    7.758    0.000 python_pararell_multithreading.py:7(check_mandelbrot)
480000/17456    0.151    0.000    7.680    0.000 python_pararell_multithreading.py:25(mandelbrot_pixel)
      4/1    0.000    0.000    7.644    7.644 {built-in method builtins.exec}
        1    0.000    0.000    7.644    7.644 python_pararell_multithreading.py:1(<module>)
        1    0.001    0.001    7.643    7.643 python_pararell_multithreading.py:124(main)
        1    0.001    0.001    7.642    7.642 python_pararell_multithreading.py:90(generate_image_parallel)
        4    0.000    0.000    7.640    1.910 threading.py:1097(join)
        4    0.000    0.000    7.640    1.910 {method 'join' of '_thread._ThreadHandle' objects}
      4/1    0.000    0.000    7.639    7.639 threading.py:1030(_bootstrap)
      4/1    0.001    0.000    7.639    7.639 threading.py:1065(_bootstrap_inner)
      4/1    0.003    0.001    7.639    7.639 {method 'run' of '_contextvars.Context' objects}
      4/1    0.000    0.000    7.639    7.639 threading.py:1013(run)
      4/1    0.002    0.001    7.634    7.634 python_pararell_multithreading.py:63(worker_mandelbrot_line)
        4    0.000    0.000    0.061    0.015 threading.py:975(start)
        4    0.003    0.001    0.061    0.015 threading.py:651(wait)
      604    0.002    0.000    0.005    0.000 queue.py:177(get)
        4    0.001    0.000    0.005    0.001 threading.py:337(wait)
     1213    0.001    0.000    0.001    0.000 threading.py:408(notify)
      6/2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1360(_find_and_load)
      6/2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1308(_find_and_load_unlocked)
      6/2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:914(_load_unlocked)
      604    0.000    0.000    0.001    0.000 queue.py:137(put)
     1217    0.001    0.000    0.001    0.000 threading.py:313(__enter__)
      3/2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:753(exec_module)
     1217    0.000    0.000    0.001    0.000 threading.py:328(_is_owned)
     13/4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:483(_call_with_frames_removed)
     1217    0.000    0.000    0.001    0.000 threading.py:316(__exit__)
1229/1163    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.lock' objects}
