Tempo de processamento (perf_counter): 478.7420 segundos

         125429 function calls (125051 primitive calls) in 478.754 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     35/1    0.000    0.000  478.754  478.754 {built-in method builtins.exec}
        1    0.000    0.000  478.754  478.754 python_pararell_multiprocessing.py:1(<module>)
        1    0.000    0.000  478.742  478.742 python_pararell_multiprocessing.py:129(main)
        1    0.102    0.102  478.742  478.742 python_pararell_multiprocessing.py:93(generate_image_parallel)
        4    0.000    0.000  478.397  119.599 process.py:142(join)
       10    0.000    0.000  478.397   47.840 popen_fork.py:24(poll)
        4    0.000    0.000  478.397  119.599 popen_fork.py:36(wait)
       10  478.397   47.840  478.397   47.840 {built-in method posix.waitpid}
        2    0.163    0.082    0.163    0.082 {method 'write' of '_io.BufferedWriter' objects}
     62/5    0.000    0.000    0.024    0.005 <frozen importlib._bootstrap>:1167(_find_and_load)
     62/5    0.000    0.000    0.024    0.005 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
     57/5    0.000    0.000    0.024    0.005 <frozen importlib._bootstrap>:666(_load_unlocked)
     34/5    0.000    0.000    0.024    0.005 <frozen importlib._bootstrap_external>:934(exec_module)
        1    0.000    0.000    0.023    0.023 shared_memory.py:236(unlink)
        1    0.023    0.023    0.023    0.023 {built-in method _posixshmem.shm_unlink}
    10244    0.009    0.000    0.022    0.000 queues.py:86(put)
        2    0.000    0.000    0.019    0.010 shared_memory.py:223(close)
        1    0.019    0.019    0.019    0.019 {method 'close' of 'mmap.mmap' objects}
   134/10    0.000    0.000    0.015    0.001 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
       34    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
    22/10    0.000    0.000    0.011    0.001 <frozen importlib._bootstrap>:1209(_handle_fromlist)
     10/3    0.000    0.000    0.011    0.004 {built-in method builtins.__import__}
        4    0.000    0.000    0.010    0.003 process.py:110(start)
        4    0.000    0.000    0.010    0.003 context.py:222(_Popen)
        4    0.000    0.000    0.010    0.002 context.py:278(_Popen)
       34    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
       34    0.009    0.000    0.009    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.007    0.007 __init__.py:1(<module>)
        1    0.000    0.000    0.007    0.007 context.py:1(<module>)
    10246    0.002    0.000    0.005    0.000 threading.py:359(notify)
        1    0.000    0.000    0.005    0.005 shared_memory.py:1(<module>)
        1    0.000    0.000    0.004    0.004 reduction.py:1(<module>)
        1    0.000    0.000    0.004    0.004 context.py:100(Queue)
    10247    0.002    0.000    0.003    0.000 threading.py:264(__enter__)
        1    0.000    0.000    0.003    0.003 queues.py:1(<module>)
       60    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:1056(_find_spec)
        1    0.000    0.000    0.003    0.003 secrets.py:1(<module>)
    10247    0.002    0.000    0.003    0.000 threading.py:279(_is_owned)
    10247    0.002    0.000    0.003    0.000 threading.py:267(__exit__)
        1    0.000    0.000    0.002    0.002 socket.py:1(<module>)
       44    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
       44    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
        1    0.000    0.000    0.002    0.002 connection.py:1(<module>)
        7    0.000    0.000    0.002    0.000 enum.py:896(_convert_)
       57    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
      129    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
       34    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
       34    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.002    0.002 hmac.py:1(<module>)
        1    0.000    0.000    0.002    0.002 tempfile.py:1(<module>)
      102    0.001    0.000    0.002    0.000 {built-in method builtins.__build_class__}
    10247    0.002    0.000    0.002    0.000 {method '__enter__' of '_thread.lock' objects}
        1    0.000    0.000    0.001    0.001 shutil.py:1(<module>)
        1    0.000    0.000    0.001    0.001 resource_tracker.py:1(<module>)
    10251    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.001    0.001 pickle.py:1(<module>)
        4    0.000    0.000    0.001    0.000 popen_fork.py:15(__init__)
        4    0.000    0.000    0.001    0.000 popen_fork.py:62(_launch)
        7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1231(create_module)
        7    0.001    0.000    0.001    0.000 {built-in method _imp.create_dynamic}
        7    0.000    0.000    0.001    0.000 enum.py:1646(convert_class)
        7    0.000    0.000    0.001    0.000 enum.py:913(<listcomp>)
        1    0.000    0.000    0.001    0.001 process.py:1(<module>)
        1    0.000    0.000    0.001    0.001 spawn.py:1(<module>)
        7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1239(exec_module)
        7    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
        4    0.001    0.000    0.001    0.000 {built-in method posix.fork}
      653    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
    10394    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
       57    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
    10244    0.001    0.000    0.001    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
    10246    0.001    0.000    0.001    0.000 {method 'append' of 'collections.deque' objects}
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
