width:    3840
height:   2160
minX:     -2.0
maxX:     1.0
minY:     -1.0
maxY:     1.0
max_iter: 500
Salvando imagem em: pictures/debian/fractal_3840_2160_iter500_20260901_073657.ppm
Tempo de processamento (perf_counter): 206.971660 segundos
         31086379 function calls (31086373 primitive calls) in 206.972 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000  206.972  206.972 {built-in method builtins.exec}
        1    0.000    0.000  206.972  206.972 python_serial.py:1(<module>)
        1    0.000    0.000  206.972  206.972 python_serial.py:115(main)
        1    4.728    4.728  206.972  206.972 python_serial.py:74(generate_image)
  8294400    4.023    0.000  200.633    0.000 python_serial.py:46(mandelbrot_pixel)
  8294400  196.609    0.000  196.609    0.000 python_serial.py:20(check_mandelbrot)
  8294400    1.202    0.000    1.202    0.000 {method 'extend' of 'bytearray' objects}
  6200575    0.379    0.000    0.379    0.000 {built-in method math.sin}
     2161    0.029    0.000    0.029    0.000 {method 'write' of '_io.BufferedWriter' objects}
      3/2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1167(_find_and_load)
      3/2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
      3/2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:666(_load_unlocked)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1056(_find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:934(exec_module)
      6/4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:772(create_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1696(path_hook_for_FileFinder)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:780(exec_module)
